Name,Address,Compiler Version,Current Balance,Total Deposited Eth,Total Withdrawn Eth,# Transactions
MAJA,0x4b969c8c382953e18976bf9211b0fe7a28e12172,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,42
DappChannel,0xCBE3ca372eaf9a25Af48f0cA3968f7DA2E4E22cc,v0.5.17+commit.d19bba13,0.0,0.0,0.0,7
DappChannel,0xcff1507BB0462cD58E1FACAD90845f52d57D1229,v0.5.17+commit.d19bba13,0.0,0.0,0.0,5
SwapGate,0x652fa386b0f048101b00a6f5f68bc305f0c2eb05,v0.5.2+commit.1df8f40c,0.0,0.0,0.0,1
DynamicStaking,0xf6f67ef1bc228caf77875dcf9dcac57d615cdc36,v0.5.2+commit.1df8f40c,0.0,0.0,0.0,15
StarGateCapital,0xd35ac0c7fea9c06b144513fa39a0da884f99e660,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,14
ArewaToken,0x4b2b37cba9163c32f918beca562fd3efb4876a89,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,2
UNIFork,0x4dffe3ddc544af5e76809e19fd16b28770181f38,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,251
Arye,0x2723edd88c25e42637c48565965e8d0dc0bcbc7e,v0.4.24+commit.e67f0147,0.0,0.0,0.0,7
YearnFinanceDiamondToken,0x5135288918cd72a9dda0ba9ec66235bf3261e0f3,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
KugulaToken,0x6925b397ed7394573bb68bac9d9e1ff39e976d62,v0.5.8+commit.23d335f2,0.0,0.0,0.0,2
WANE,0x5267a148a6b0b7b0a41f2db9894db6c7c208e71e,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,236
AErc20,0x84b588a04bb152b0ee7a4c2a57917889a8c27c53,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,55
AErc20,0xcbf5b2212087c21edcf2fc599a4619250bad39a2,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,13
FutureETH,0x2241940712c5188761714870ba11041894739c7f,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,16
YFKING,0xb6c7a20044d38d8b8ac2791c30351579b65f0803,v0.5.17+commit.d19bba13,0.0,0.0,0.0,30
TFToken,0xbdda9670bc2a672c36cce0102ce8c69b12e9dee3,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,504
TomoE,0x05d3606d5c81eb9b7b18530995ec9b29da05faba,v0.4.24+commit.e67f0147,0.0,0.0,0.0,12
CFXQV1,0x0557e0d15aec0b9026dd17aa874fdf7d182a2ceb,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,7
LIVECoinToken,0x48e997d8ee0fe4e19fca7ec63141740b7211f084,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,3
TulipToken,0x3D1BE3fEf769399CcE7e504E85324d622F23Cf85,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,1260
YearnFinanceGold,0xc1aB1e8Fb40825E83B4680b17B1aAf3d6262970C,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
TomatoSwap,0xa42cf329478e15e337cbe0025d19295b72b4bb16,v0.5.17+commit.d19bba13,0.0,0.0,0.0,12
POFI,0xefb3ba332129cfc31a84ac96974f5c19fa4a6f10,v0.4.26+commit.4563c3fc,0.0,501.35549655958334,501.35549655958323,369
UniStake,0x3b9827652677a5d59fe2b153eb4b9acd7fd2f955,v0.5.17+commit.d19bba13,0.0,0.0,0.0,12
ZeroUtility,0x83F873388Cd14b83A9f47FabDe3C9850b5C74548,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,634
ZeroUtilityCopyCat,0x96C0c1E929b88d907D774Fc34B9362e24321ea1a,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,17
YFONE,0x5f2de1593e7e297c56dfb10d60e356a937dc4939,v0.5.17+commit.d19bba13,0.0,0.0,0.0,27
DEFIGOLD,0x7502931720447014d198e3405bb1c067ee641102,v0.5.17+commit.d19bba13,0.0,0.0,0.0,33
DFGL,0xe3a64a3c4216b83255b53ec7ea078b13f21a7dad,v0.4.24+commit.e67f0147,0.0,0.0,0.0,1
ERC677MultiBridgeToken,0xe1f238374943bB9A2d254dfB713B3B2fF8efdb87,v0.5.12+commit.7709ece9,0.0,0.0,0.0,5
DefiIndex,0x88fbecfef7146242c18d26321b628e9fca6b76dd,v0.5.2+commit.1df8f40c,0.0,0.0,0.0,66
CustomToken,0x38AA24Df69672882Aa8d84d0A6687E16B67cdE38,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,1413
TokenERC20,0xf3458f7674a68dcc6dca33024a197b9afd18337d,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
CustomToken,0x17bA2665Af0686533Fb815AbeF610a43D256dc71,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,2
CustomToken,0x1936D2F622F2c2190ef85C6E5a80d21316d2393E,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,9
YFPI,0x05d27cdd23e22ca63e7f9c7c6d1b79ede9c4fcf5,v0.5.17+commit.d19bba13,0.0,0.0,0.0,332
DRE,0x8a28b1ef158a3511a0629b3ee7293bd95cbf2c97,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,1
yffhToken,0xaebcc16ddf84830a163079ea4bc1c5a82819b2fa,v0.5.17+commit.d19bba13,0.0,0.0,0.0,21
YFDEFI,0x2be4d44273f63cd58185eda0d355df63dabbf561,v0.5.17+commit.d19bba13,0.0,0.0,0.0,38
CustomToken,0xee89114a2fD0320C184Af0AFEF0e3cf4CD237d2B,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,33
CustomToken,0x7eefbf47B611cFCD9c6d13c90F397A08E240bB21,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,5
LGM,0x7e43fe8ea9a433cb848ddfbbb54c9ad1fcf25856,v0.5.17+commit.d19bba13,0.0,0.0,0.0,12
HalvingToken,0x9e7cb236e43c4bd042fe463df6a175d4479ee186,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,2
YoYo,0x29cc7d951182790f40514d64a76eb7b5431e4953,v0.5.17+commit.d19bba13,0.0,0.0,0.0,3
PRELOX,0x4C08F3aCc79463aDA063EFcd5888161006601964,v0.5.17+commit.d19bba13,0.0,0.0,0.0,42
LOX,0xee67A313FA15595cd8D20C018a0d6C3765585589,v0.5.17+commit.d19bba13,0.0,78.9,78.9,205
YearnBNBNetworkToken,0xa1f8dfbcb73027401c3852878d458ec0f54d5f32,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
EARN,0x63a18BC38D1101DB7F0efCbCBdCbe927A5879039,v0.5.17+commit.d19bba13,0.0,0.0,0.0,16
YAMDelegator,0x0aacfbec6a24756c20d41914f2caba817c0d8521,v0.5.15+commit.6a57276f,0.0,0.0,0.0,4681
NULL,0xf784097f3a428878d2b512818b34f580b93776db,v0.5.2+commit.1df8f40c,0.0,0.0,0.0,346
MainToken,0x062f90480551379791FBe2ED74C1fe69821b30d3,v0.4.24+commit.e67f0147,0.0,0.0,0.0,1447
Gem,0x523EEAfdaC23FA2CB0C3873CdA4818cdc80e28E8,v0.5.17+commit.d19bba13,0.0,0.0,0.0,5
YFElite,0x61b10135639885e00bf4d42de2fe5f2e28abad75,v0.5.17+commit.d19bba13,0.0,0.0,0.0,3
Cartridge,0x45b5fa7f41bc09feaa9a815059e29e29a86e6fde,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,5
Ducks,0x7f0c8B125040f707441cad9e5eD8a8408673b455,v0.5.17+commit.d19bba13,0.0,0.0,0.0,731
YFE,0x33811d4edbcaed10a685254eb5d3c4e4398520d2,v0.5.17+commit.d19bba13,0.0,0.0,0.0,205
TokenERC20,0x7fc17b610ee05564bd7d131cc4350c92300552e9,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
NullUtility,0x2c9561bcb8371758e000644b5a4b9c5647b756a8,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,365
Karatefinance,0x83e28af3b0694cd5c0d5586ed272718cb9431d23,v0.5.10+commit.5a6ea5b1,0.0,0.0,0.0,191
PortionToken,0x6d0f5149c502faf215c89ab306ec3e50b15e2892,v0.5.17+commit.d19bba13,0.0,0.0,0.0,14
WEV,0xfb9fc4ccc2538172fe76f7dc231a6969950e57c8,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,116
AErc20,0xec8318cb5b5d2892d92a473a32a2bc2fa2a7604a,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,49
YFIPaprika,0xb9782532fa7062a6f73df1ce71d75c0e16046ebc,v0.4.24+commit.e67f0147,0.01,0.01,0.0,48
LV,0xa77f34bde382522cd3fb3096c480d15e525aab22,v0.5.17+commit.d19bba13,0.0,0.0,0.0,29
SyntheticRebaseDollar,0xaa90d9cc2f41a150489da5fffba2060a2938ffdc,v0.5.17+commit.d19bba13,0.0,0.0,0.0,3
TBTCToken,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa,v0.5.17+commit.d19bba13,0.0,0.0,0.0,74
GENToken,0xf2ddae89449b7d26309a5d54614b1fc99c608af5,v0.5.17+commit.d19bba13,0.0,0.0,0.0,48
DragonNetwork,0xEe87b220d9b0e762f0643C501fADeFd6d9cc5B7E,v0.5.17+commit.d19bba13,0.0,0.0,0.0,4
MoonYFI,0xaef4e9925ee06d684c5f81561c80608d0a571d4b,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,5
CustomToken,0xc0748795564F9718b80208CB735eB6E4b98e4Cdb,v0.4.25+commit.59dbf8f1,0.0,0.0,0.0,3
AINFinance,0xe4e915fd305693492ca0bf1cbbd2bf420f7d7818,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,282
YALPHA,0xd91a89f797592eca6c599ba4bdcab41ef79818d5,v0.5.17+commit.d19bba13,0.0,0.0,0.0,14
YFIBNB,0x19b55e140c7e4630b7e2027b12eb080560eb2f35,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,1
TokenERC20,0x748e57656d093aa1bbcde2900092a87110c1c079,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
yEstate,0xd8b54c310b6f256b40ded68ae581cb6ad826479b,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,25
CarrotFinance,0xCeA81E39F33c60e55cC2DcE753764A077219E990,v0.4.24+commit.e67f0147,0.0,0.0,0.0,21
MyAdvancedToken,0x86c9f9df4a0bfc9a52eb3d16bcce3bc50d1a34ae,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,10000
LBS,0x0fc2b9b5d5318be30c56df2bcffbc1f269609931,v0.5.2+commit.1df8f40c,0.0,0.0,0.0,16
ERC20,0x7113b73c813733daDE1558a93a1894e0ae06F0F6,v0.5.17+commit.d19bba13,0.0,0.0,0.0,9
YFK,0xf4bcc9537e4a6ff9d13a92b6273cc2349b659242,v0.5.17+commit.d19bba13,0.0,0.0,0.0,111
Yearn20MoonFinance,0x16be21c08eb27953273608629e4397556c561d26,v0.5.11+commit.c082d0b4,0.0,0.0,0.0,32
BitDefi,0x2b2b0559081c41e962777b5049632fdb30f7e652,v0.5.17+commit.d19bba13,0.0,0.0,0.0,8
YearnFinanceBitToken2,0x59e7b5db9be0bdd26fa048d39e01fee456ab674e,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,266
CRON,0x8e14d03061705eb48fda6bc6e244c5eabe5d322e,v0.5.17+commit.d19bba13,0.0,0.0,0.0,8
YFG,0x0eac9bb695be3e4b86d751cdc36716a75afdb7b2,v0.5.17+commit.d19bba13,0.0,0.0,0.0,33
ArpaCorpX,0x58c2A89Ff9522cF7f44C3B7b3C3DE2165eea9b5E,v0.4.24+commit.e67f0147,0.0,0.0,0.0,2
BDB,0xb693364be3576ec59a1867d23f32362382f762ac,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,3
LBTContract,0xa73c6492a31da95eaef3fcbf31425dd92d290e15,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
yDAI,0x39ee9b9ea9e4b9cc90747ab4714a7ffcc59f313f,v0.5.17+commit.d19bba13,0.0,0.0,0.0,4
Vault,0x8e298734681adbfc41ee5d17ff8b0d6d803e7098,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,952
BitDefi,0xeb2988214f6cb6a4738e733adfe0582b1c6369b4,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1
GPC,0x964944eb8e707deec36af172ce2c6216d210a0c9,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,1
yfMeta,0xAD43BbDe9b4E1A2894984A55a2f490c4ADc1773b,v0.5.17+commit.d19bba13,0.0,0.0,0.0,33
SwapXV1Pair,0xb2d2058713fa8ad0889214d984101c328a15feee,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,3
YFFFARM,0x146da3678d4130CFc1adDEB4eF45F5ae18b485D7,v0.4.24+commit.e67f0147,0.0,0.0,0.0,3
